Group_Type,Group_Value,Mean_Residual,MAE,N
DN_Level,245,-0.15129128822942062,0.19528473491401155,4
DN_Level,617,-0.9941143298056037,0.9941143298056037,2
DN_Level,622,-0.6316356178675145,0.6316356178675145,2
DN_Level,623,-0.458208823975229,0.458208823975229,5
DN_Level,634,-0.5746613338362565,0.5746613338362565,1
DN_Level,637,-0.4460958501121568,0.4460958501121568,2
DN_Level,644,-0.3987012331365798,0.3987012331365798,2
DN_Level,669,-0.49765835365345135,0.49765835365345135,1
DN_Level,688,-0.6606521065689315,0.6606521065689315,1
DN_Level,690,-0.5301746244532652,0.5301746244532652,1
DN_Level,693,-0.8102984811325822,0.8102984811325822,6
DN_Level,701,-0.22836098403380234,0.22836098403380234,2
DN_Level,702,-0.06280668380594756,0.06280668380594756,1
DN_Level,707,0.44211464299976055,0.44211464299976055,4
DN_Level,715,0.3831722206490667,0.4458042790913248,11
DN_Level,716,0.48601624793061426,0.48601624793061426,2
DN_Level,728,0.6661851046216634,0.6661851046216634,1
DN_Level,734,0.09793321597396476,0.09793321597396476,2
DN_Level,742,-0.38347619056384374,0.38347619056384374,2
DN_Level,743,0.28939712674938695,0.28939712674938695,3
DN_Level,749,0.07664767611310586,0.07664767611310586,1
DN_Level,762,-0.045277909933200355,0.1038196823891222,2
DN_Level,792,-0.18972981470436912,0.18972981470436912,1
DN_Level,797,-0.19635207653032838,0.19635207653032838,1
DN_Level,804,-0.8245930760720255,0.8245930760720255,1
DN_Level,816,-0.48350803513557405,0.48350803513557405,4
DN_Level,824,-0.023770975678741646,0.023770975678741646,1
DN_Level,836,0.23294805825930398,0.23294805825930398,1
DN_Level,838,0.07029315184865573,0.1348458813829004,11
DN_Level,839,0.18038830728556343,0.18038830728556343,6
DN_Level,840,0.17913476949593798,0.17913476949593798,14
DN_Level,841,0.31764466372863165,0.31764466372863165,1
DN_Level,842,0.3163941016970693,0.3163941016970693,6
DN_Level,844,0.31389742188446057,0.31389742188446057,5
DN_Level,855,-0.44147789952252947,0.44147789952252947,4
DN_Level,856,0.2545885615952823,0.2545885615952823,1
DN_Level,864,0.09819548491361374,0.09819548491361374,1
DN_Level,865,0.02882549586466432,0.16823611831060648,2
DN_Level,874,0.3196998764623076,0.3196998764623076,1
DN_Level,876,0.3822145422691961,0.4761777374976916,8
DN_Level,890,0.3699542530984781,0.3699542530984781,11
DN_Level,892,0.19209802179286176,0.19209802179286176,10
DN_Level,903,0.4745888012214592,0.4745888012214592,1
DN_Level,906,0.048241284410361907,0.048241284410361907,1
DN_Level,909,0.044762145130400555,0.044762145130400555,4
DN_Level,911,0.09374237955951559,0.09374237955951559,1
DN_Level,915,-0.04480828424145944,0.04480828424145944,2
DN_Level,916,-0.13516170216763657,0.13516170216763657,1
DN_Level,929,-0.1196810157610233,0.1196810157610233,2
DN_Level,934,0.027606105471567846,0.027606105471567846,9
DN_Level,938,0.011709836854397082,0.011709836854397082,5
DN_Level,947,-0.5246384881404649,0.626381484247684,2
DN_Level,949,-0.05462812371552328,0.05462812371552328,1
DN_Level,953,-0.004987792940746694,0.004987792940746694,5
DN_Level,959,0.1350100270872776,0.1350100270872776,3
