ID,X,Y,lux,Avg_AVGIL,Avg_spots_,Avg_ADCG,Avg_illumi,DN,Avg_DN,LV
1,114.1578528,22.28223611,99,87.13805389,26858.33333,153.2104746,0.90450886,3587,3789.333333,10
2,114.157525,22.28215278,28,73.03861782,18583,148.4027478,0.88065198,3884,3329.642857,10
3,114.1576472,22.28196389,96,73.03861782,18583,148.4027478,0.88065198,3884,3329.642857,10
4,114.1567611,22.28145278,58,69.1513248,16371.44444,139.8114673,0.87048775,3212,3563.888889,9
5,114.1563861,22.28174444,71,72.09064301,18145.91304,160.3961579,0.87279226,3619,3404.086957,10
6,114.1563722,22.28175,69,72.09064301,18145.91304,160.3961579,0.87279226,3619,3404.086957,10
7,114.1557083,22.28124722,163,59.01566795,11524.81481,146.0377152,0.84785283,3785,2044.740741,10
8,114.1559056,22.28144722,24,56.8176283,9796,149.0426633,0.86451109,3892,2202.235294,10
9,114.1560444,22.281525,92,56.8176283,9796,149.0426633,0.86451109,3892,2202.235294,10
10,114.1549833,22.283575,59,63.83864766,12268.48387,150.6777752,0.86385935,1854,2702.741935,7
11,114.1549306,22.28362222,62,60.86587982,11348.1,142.896026,0.80856945,1854,2156.4,7
12,114.1528028,22.28530278,30,55.10573402,8318.076923,137.3304121,0.85512549,990,1839.384615,5
13,114.1532361,22.28579444,23,55.10573402,8318.076923,137.3304121,0.85512549,3633,1839.384615,10
14,114.1497944,22.28648333,12,40.57290649,9586.642857,136.1974879,0.88471436,1287,1588.214286,6
15,114.1478111,22.28689444,61,52.99408637,9346.555556,120.3027623,0.88211899,991,1125.777778,5
16,114.1478111,22.28689444,40,52.99408637,9346.555556,120.3027623,0.88211899,991,1125.777778,5
17,114.1698222,22.31377778,37,57.32062508,10650.17647,132.1646385,0.8960223,2382,1736.764706,8
18,114.1698389,22.3138,66,73.6539299,18616.3,159.2598385,0.79636029,2382,3321.7,8
19,114.1698389,22.31379444,49,73.6539299,18616.3,159.2598385,0.79636029,2382,3321.7,8
20,114.1696472,22.31432778,40,51.99526691,14133.25,166.3416497,0.78267791,1387,1040,6
21,114.1697,22.31443056,25,73.6539299,18616.3,159.2598385,0.79636029,1947,3321.7,7
22,114.1697222,22.31445278,24,77.69349353,21840.66667,147.950761,0.84148001,1947,3591.5,7
23,114.1696083,22.31478889,76,57.74302902,7695,150.7794667,0.79800783,1987,2019.8,7
24,114.1695111,22.31524444,75,57.74302902,7695,150.7794667,0.79800783,3106,2019.8,9
25,114.1695028,22.31523611,99,57.74302902,7695,150.7794667,0.79800783,3106,2019.8,9
26,114.1695556,22.31524722,63,77.69349353,21840.66667,147.950761,0.84148001,3106,3591.5,9
27,114.1695861,22.31526389,119,77.12019424,13993.8,138.5273908,0.92239455,3106,3829,9
28,114.1695861,22.31526389,61,77.12019424,13993.8,138.5273908,0.92239455,3106,3829,9
29,114.1700667,22.31531389,39,77.69349353,21840.66667,147.950761,0.84148001,3977,3591.5,10
30,114.1700667,22.31531389,45,77.69349353,21840.66667,147.950761,0.84148001,3977,3591.5,10
31,114.1700528,22.31531944,56,77.69349353,21840.66667,147.950761,0.84148001,3977,3591.5,10
32,114.1700444,22.31543056,169,77.12019424,13993.8,138.5273908,0.92239455,3977,3829,10
33,114.170075,22.31546111,67,77.12019424,13993.8,138.5273908,0.92239455,4039,3829,10
34,114.1700667,22.31546111,81,77.12019424,13993.8,138.5273908,0.92239455,3977,3829,10
35,114.1690972,22.31516389,45,57.74302902,7695,150.7794667,0.79800783,2252,2019.8,8
36,114.169075,22.31514722,70,57.74302902,7695,150.7794667,0.79800783,2252,2019.8,8
37,114.169075,22.31515,64,57.74302902,7695,150.7794667,0.79800783,2252,2019.8,8
38,114.1690139,22.31519722,48,54.53198242,6025.4,128.5969934,0.89549638,2252,2079.6,8
39,114.1690056,22.31519444,37,54.53198242,6025.4,128.5969934,0.89549638,2252,2079.6,8
40,114.1689528,22.31518611,34,54.53198242,6025.4,128.5969934,0.89549638,2252,2079.6,8
41,114.1687167,22.31509722,30,50.82174969,6983.625,157.7985952,0.84590074,1297,1271.75,6
42,114.1685417,22.31511111,24,49.95083084,5976.2,138.2684852,0.93123867,1297,1353,6
43,114.1685417,22.31511111,21,49.95083084,5976.2,138.2684852,0.93123867,1297,1353,6
44,114.1685417,22.31511389,21,49.95083084,5976.2,138.2684852,0.93123867,1297,1353,6
45,114.1684889,22.31510278,19,49.95083084,5976.2,138.2684852,0.93123867,707,1353,4
46,114.1684806,22.31510278,21,49.95083084,5976.2,138.2684852,0.93123867,707,1353,4
47,114.1684556,22.31500556,23,46.33965836,7576.6,164.0523791,0.92513326,707,775.4,4
48,114.1684556,22.31501944,20,46.33965836,7576.6,164.0523791,0.92513326,707,775.4,4
49,114.1685417,22.31464444,15,31.33965836,7576.6,164.0523791,0.92513326,929,775.4,5
