Group_Type,Group_Value,Mean_Residual,MAE,N
DN_Level,245,-1.6946706926297377,1.6946706926297377,4
DN_Level,617,-1.4224508335027843,1.4224508335027843,2
DN_Level,622,-1.5058726410292502,1.5058726410292502,2
DN_Level,623,-1.2586298513360845,1.2586298513360845,5
DN_Level,634,-2.038294908777348,2.038294908777348,1
DN_Level,637,-1.2628586423844,1.2628586423844,2
DN_Level,644,-1.2817983227775769,1.2817983227775769,2
DN_Level,669,-1.3965965873875015,1.3965965873875015,1
DN_Level,688,-1.420555440015032,1.420555440015032,1
DN_Level,690,-1.0702756707840249,1.0702756707840249,1
DN_Level,693,0.3390433179097565,0.5411875197050328,6
DN_Level,701,-0.34983836399948043,0.34983836399948043,2
DN_Level,702,0.28099190160061793,0.28099190160061793,1
DN_Level,707,-0.23292426568135272,0.23292426568135272,4
DN_Level,715,0.03630715014298862,0.15328677617858835,11
DN_Level,716,-0.4517814042873407,0.4517814042873407,2
DN_Level,728,-0.14132295336082956,0.14132295336082956,1
DN_Level,734,0.3042533499674742,0.3042533499674742,2
DN_Level,742,-1.2515075766955404,1.2515075766955404,2
DN_Level,743,-0.13675247031200768,0.13675247031200768,3
DN_Level,749,0.22545217271101814,0.22545217271101814,1
DN_Level,762,0.10738461792020271,0.421536148060802,2
DN_Level,792,-0.0977966709206668,0.0977966709206668,1
DN_Level,797,-0.3110735236346813,0.3110735236346813,1
DN_Level,804,-1.5081825029648377,1.5081825029648377,1
DN_Level,816,0.4605417872861335,0.4605417872861335,4
DN_Level,824,-0.22111012529823482,0.22111012529823482,1
DN_Level,836,-0.13155019947758406,0.13155019947758406,1
DN_Level,838,0.08729138894493982,0.1964327657610663,11
DN_Level,839,-0.4877282066371566,0.4877282066371566,6
DN_Level,840,-0.35849565739747763,0.35849565739747763,14
DN_Level,841,-0.7008633126521264,0.7008633126521264,1
DN_Level,842,-0.349997610902334,0.349997610902334,6
DN_Level,844,-0.10478141983532563,0.10478141983532563,5
DN_Level,855,0.5585560515510708,0.6198628522035048,4
